App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements
6102537,HDR,1/1/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6102605,HDR,1/2/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6102618,HDR,1/2/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6102662,HDR,1/3/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6102670,HDR,1/3/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6102728,HDR,1/4/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6102765,HDR,1/4/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6102864,HDR,1/6/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6102825,HDR,1/6/2025,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed
6102826,HDR,1/6/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed
6102980,HDR,1/8/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed
6103017,HDR,1/8/2025,Denied,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6103099,HDR,1/9/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103115,HDR,1/10/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103129,HDR,1/10/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103147,HDR,1/10/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed
6103131,HDR,1/10/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103104,HDR,1/10/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6103136,HDR,1/10/2025,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103138,HDR,1/10/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103111,HDR,1/10/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6103144,HDR,1/10/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103168,HDR,1/11/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103160,HDR,1/11/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103153,HDR,1/11/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6103176,HDR,1/11/2025,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
