company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Granduc Mines Ltd. ,Newmont Mines Ltd.,Canada Wide Mines Ltd.,,,,,Stewart ,British Columbia,56.211111,-130.34499,1964,1984,,,,,"Copper, Silver, Gold, Lead, Zinc, Cobalt",Copper,Silver,Gold,Lead,Zinc,Cobalt,,,,0,0,0,,,
Tundra Gold Mines Ltd,,,,,,,,Northwest Territories,64.0375,-111.1791667,1964,1968,,,,,Gold,Gold,,,,,,,,"The site was completely remediation by a government-funded program in the spring and summer of 2007. 
The camp consisted of two large buildings making up the accommodation complex. The 2-story bunkhouse had room for 62 single men, plus a small hospital, laundromat, and four staff residences for married couples. The Personal Services Building contained cookery, commissary, recreation hall, gymnasium, staff quarters, and library. The two camp buildings were connected by a short arctic-corridor, and the rest of the buildings onsite were connected by rope (life-lines) so that men would not get lost in blizzards walking to work. The mine manager had his own residence on site, and in 1964-1965 trailer units were brought in on winter road to provide additional family housing. In 1965, there were eight families residing on site. A crew of about 100 to 120 persons worked on the site. Jack Boulding was mine manager at the start of production, but was forced to retire in May 1965 due to illness. Len Dixon replaced him as manager at Tundra Mine"" (Byrne et al., 1964 cited by source1 (Silke), p.493)
 ""1968 Closure Worsening economic conditions in late 1967 convinced company officials that the Tundra Mine could no longer operate profitably. Increased costs, depressed gold market, and operational handicaps were the primary factors. The mine was closed in January 1968. On January 6th 1968 the last ore was hoisted, and the mill circuit was cleaned out to recover any remaining gold values. Most usable equipment was sent to Discovery Mine over the winter road. About 5,000 tons of broken ore remained underground, considered too low-grade for treatment in 1968. A substantial rise in the price of gold was considered necessary to reactivate the property"" (Tundra Gold Mines Ltd. Annual Report, 1968 cited by source1 (Silke), p.495)",1,0,0,,,
Echo Bay Mines Ltd. ,Cominco Limited (1933-1936),,,,,,Port Radium ,Northwest Territories,66.09583333,-117.9916667,1964,1974,,,,,"Silver, Copper",Silver,Copper,,,,,,,"The mine was also in operation from 1934 to 1936. 
First underground exploration of the silver deposits occurred in the 1930s, and in 1964 the mine was brought into production. In 1976, the old Eldorado Mine was reopened and mined for its silver content when Echo Bay ores were depleted. Following the closure of the Port Radium operations in 1982, the Eldorado Mine and Echo Bay Mines were cleaned up.
CAUSE: Underground development on two adit levels began in 1933, but work ceased when the price of silver collapsed. The site remained closed until 1964 when Echo Bay Mines Limited reopened the mine workings. Silver and copper was produced from 1964 until 1976 when the orebody was depleted.
SCALE: A total of 103 persons were employed at the mine at that date. The camp consisted of two-story bunkhouses, cookery, and recreation hall, previously occupied by Eldorado Mine at Port Radium (The Western Miner, August 1968)",1,0,0,,,
Baskatong Quartz Products Ltd.,,,,,,,Grand Remous ,Quebec,46.78468893,-75.87219071,1965,1977,,,,,Silica,Silica,,,,,,,,,0,0,0,,,
Noranda Mines Ltd. ,Noranda Inc.,,,,,Boss Mountain Division,Hendrix Lake,British Columbia,52.096666,-120.9075,1965,1983,,,,,"Molybdenum, Copper, Zinc, Tungsten, Silver, Bismuth, Rhenium",Molybdenum,Copper,Zinc,Tungsten,Silver,Bismuth,Rhenium,,,0,0,0,,,
C.H. Nichols ,,,,,,,Minto ,New Brunswick,46.07595292,-66.0748075,1966,1969,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),0,0,0,,,
Big Nama Creek Mines Ltd.,,,,,,,Manitouwadge ,Ontario,49.16603,-85.84594,1967,1968,,,,,Copper,Copper,,,,,,,,,0,0,0,,,
Maritimes Mining Corp. Ltd.,First Maritime Mining Corp Ltd.,,,,,Gull Pond ,Gull Pond ,Newfoundland-and-Labrador,49.19843626,-56.15501636,1967,1971,,,,,"Copper, Iron, Zinc, Lead",Copper,Iron,Zinc,Lead,,,,,205 workers,0,0,0,,,
Cliffs of Canada Ltd.,Dofasco Inc.,,,,,Shermans,Temagami,Ontario,47.06726,-79.84031,1968,1990,,,,,Iron,Iron,,,,,,,,,0,0,0,,,
Alwinsal Potash of Canada Ltd.,Potash Corporation of Saskatchewan (Laniga Division),,,,,Lanigan Division,Lanigan ,Saskatchewan,51.849207,-105.1962081,1968,open,,,,,Potash,Potash,,,,,,,,,0,0,0,,,
"Jameland Mines Ltd., ",,,,,,,Timmins ,Ontario,48.57813,-81.58804,1969,1971,,,,,Copper,Copper,,,,,,,,,0,0,0,,,
Cominco Ltd.,,,,,,Vanscoy ,Vanscoy,Saskatchewan,52.004765,-107.0739183,1969,open,,,,,Potash,Potash,,,,,,,,,0,0,0,,,
Alberta Sulphate Ltd.,,,,,,,Metiskow ,Alberta,52.40542312,-110.6331424,1970,1991,,,,,Sodium Sulphate,Sodium Sulphate,,,,,,,,,0,0,0,,,
Hudson Bay Mining and Smelting Co. Ltd. ,Dickstone Copper Mines Ltd.,,,,,,Morton Lake-Herb Lake ,Manitoba,54.855,-100.49,1970,1974,,,,,"Copper, Zinc",Copper,Zinc,,,,,,,,0,0,0,,,
Venus Mines Ltd.,,,,,,Venus,Carcross,Yukon,60.025,-134.6347222,1970,1971,1980,1982,1980,1982,"Silver, Gold",Silver,Gold,,,,,,,The mine was also in operation from 1906 to 1911,0,0,0,,,
Kaniche'e Mining Inc.,,,,,,Ajax or Kanichee,Temagami,Ontario,47.10385,-79.84555,1973,1976,,,,,Copper,Copper,,,,,,,,"The Kanichee Mine zone has been explored and mined discontinuously from as early as 1910. During the 20th century, it operated and closed down at least three times, with the most recent being from 1973 to 1976. To date, the discontinuous operation of Kanichee Mine has produced 4.2 million pounds of metal.",0,0,0,,,
Hope Bay Mines Ltd.,,,,,,Robert's Bay - Ida Bay Silvers,Melville Sound/ Cambridge Bay,Nunavut,68.15,-106.6666667,1973,1975,,,,,Silver,Silver,,,,,,,,"85,000 oz silver (small producer).",0,0,0,,,
Sill Lake Silver Mine Ltd.,,,,,,,Van Koughnet Twp.,Ontario,46.76779,-84.25805,1975,1985,,,,,Silver,Silver,,,,,,,,,0,0,0,,,
Continental Lime Ltd.,Graymont Western Canada Inc.,,,,,Marble Canyon or Pavilion Lake,Pavilion Lake,British Columbia,50.817777,-121.65444,1975,2000,2016,,,,"Limestone, Aggregate",Limestone,Aggregate,,,,,,,,0,0,0,,,
Smoky River Holdings Ltd.,,,,,,Smoky River,Grande Cache ,Alberta,54.02862025,-119.2595334,1976,2000,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Ulster Petroleums Ltd.,Echo Bay Mines Limited,Ulster Petroleums Limited,,,,Contact Lake,Port Radium ,Northwest Territories,65.97916667,-117.7458333,1977,1977,,,,,"Silver, Copper",Silver,Copper,,,,,,,small scale production,0,0,0,,,
Mountain Minerals Co. Ltd.,Highwood Resources Ltd.,,,,,Moberly,Golden,British Columbia,51.371666,-116.96472,1980,2009,,,,,Silica,Silica,,,,,,,,,0,0,0,,,
Mosquito Creek Gold Mining Corp. Ltd.,,,,,,,Wells,British Columbia,53.108333,-121.59722,1980,1987,,,,,"Gold, Silver, Lead, Zinc, Tungsten",Gold,Silver,Lead,Zinc,Tungsten,,,,,0,0,0,,,
Klondike,Teck Corporation,,,,,Klondike Operations,Whitehorse,Yukon,60.73673403,-135.0834051,1980,1998,,,,,Gold,Gold,,,,,,,,,0,0,0,,,
Hudson Bay Mining and Smelting Co. Ltd.,,,,,,Trout Lake (Embury Lake),Flin Flon ,Manitoba,54.81944444,-101.8111111,1981,2002,2007,2012,,,"Copper, Zinc, Gold, Silver",Copper,Zinc,Gold,Silver,,,,,,0,0,0,,,
Scottie Gold Mines Ltd.,,,,,,,Stewart,British Columbia,56.219721,-130.09527,1981,1984,,,,,"Gold, Silver, Copper, Zinc, Lead",Gold,Silver,Copper,Zinc,Lead,,,,,0,0,0,,,
Cominco Ltd.,Cominco Ltd. and Teck Corporation,,,,,Polaris,Little Cornwallis Island - Resolute Bay,Nunavut,75.39,-96.9,1981,2002,,,,,"Zinc, Lead",Zinc,Lead,,,,,,,"2.694 Mt zinc, 0.724 Mt lead from 20.107 Mt of processed ore (Harrison, 2016). Deposit grade of 13.4% Zn, 3.6% Pb (17.0% metal), depleted, mine site reclaimed (major producer).",0,0,0,,,
Carolin Mines Ltd.,,,,,,,Hope,British Columbia,49.508611,-121.28888,1982,1984,,,,,"Gold, Silver, Copper, Zinc",Gold,Silver,Copper,Zinc,,,,,,0,0,0,,,
Echo Bay Mines Ltd.,,,,,,Lupin,Contwoyto Lake - Kugluktuk,Nunavut,65.75,-111.25,1982,2004,,,,,Gold,Gold,,,,,,,,"3.36 Moz gold from 1.2 Mt of processed ore, mill-head grade of 8.9 g/t Au. Mine site and infrastructure still in place due to mining industry ownership since closure (major producer).",0,0,0,,,
Teck Corporation Ltd.,Teck-Bullmoose Coal Inc.,Teck Corporation Billiton Copper Holdings Inc. And Nissho Iwai Coal Development (Canada) Ltd.,,,,Bullmoose,Tumbler Ridge,British Columbia,55.118332,-121.49472,1983,2002,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
International Marble and Stone Co. Ltd.,,,,,,,Creston,British Columbia,49.09714107,-116.5130921,1985,open,,,,,"Limestone, Talc",Limestone,Talc,,,,,,,,0,0,0,,,
Blackdome mining Corp.,"Claimstaker Resources Ltd., MCM Minerals Ltd. And Petro Plus Inc.",,,,,Blackdome,Clinton,British Columbia,51.323888,-122.48999,1986,1990,,,,,"Gold, Silver, Copper, Lead, Zinc, Selenium",Gold,Silver,Copper,Lead,Zinc,Selenium,,,,0,0,0,,,
Sherritt Gordon Mines Ltd. ,LynnGold Resources Inc.,,,,,MacLellan,Lynn Lake ,Manitoba,56.88527778,-100.9391667,1986,1989,,,,,"Gold, Silver",Gold,Silver,,,,,,,,0,0,0,,,
Pioneer Metals Corporation,,,,,,Puffy Lake,,Manitoba,55.03472222,-100.9916667,1987,1989,,,,,Gold,Gold,,,,,,,,,0,0,0,,,
Candorado Mines Ltd. ,,,,,,Hedley,Hedley,British Columbia,49.346666,-120.07583,1988,1993,,,,,"Gold, Silver",Gold,Silver,,,,,,,,0,0,0,,,
Cheni Gold Mines Inc.,,,,,,,Lawyers Mine,British Columbia,57.338333,-127.18027,1989,1992,,,,,"Gold, Silver, Copper, Zinc, Lead",Gold,Silver,Copper,Zinc,Lead,,,,,0,0,0,,,
Richmont Mines Inc.,,,,,,Hammerdown,Baie Verte ,Newfoundland-and-Labrador,49.55283141,-56.24667802,2000,2004,,,,,"Gold, Silver",Gold,Silver,,,,,,,80 workers,0,0,0,,,
Western Canadian Coal Corporation,"Walter Energy, Inc.",Conuma Coal Resources Ltd.,,,,Dillon or Brule,Tumbler Ridge,British Columbia,55.386666,-121.81999,2004,2007,2014,2016,,,Coal,Coal,,,,,,,,,0,0,0,,,
Duval Corp. of Canada,Potash Corporation of Saskatchewan Cory Ltd.,"Potash Corporation of Saskatchewan Inc., (Cory Division)",,,,Cory Division,Saskatoon ,Saskatchewan,52.089095,-106.8669061,2005,open,,,,,Potash,Potash,,,,,,,,,0,0,0,,,
Inco Limited,,,,,,Voisey's Bay,Voisey's Bay,Newfoundland-and-Labrador,56.33134427,-62.09705672,2005,open,,,,,"Nickel, Copper, Cobalt",Nickel,Copper,Cobalt,,,,,,,0,0,0,,,
Tahera Diamond Corp,,,,,,Jericho Diamond,Kugluktuk,Nunavut,65.99722222,-111.475,2006,2008,,,,,Diamond,Diamond,,,,,,,,"0.78 M carats of diamonds from 1.2 Mt @ 0.65 cpt from open pit to -100 m, sold for $95-$105/carat. Production figures returned 24% less grade and 31% less value than -280 m resource of 5.525 Mt @ 0.85 cpt valued at $145/carat. Open-pit and mine site rehabilitation performed by federal government (modest producer).",0,0,0,,,
Saskatchewan Power Corp.,Luscar Ltd.,,,,,Poplar River,Coronach,Saskatchewan,49.089639,-105.4519726,2011,open,,,,,Coal,Coal,,,,,,,,,0,0,0,,,
Burnt Hill Tungsten and Metallurgical Ltd. ,,,,,,,,New Brunswick,46.56722222,-66.81388889,1868,1956,,,,,"Tungsten, Molybdenum, Tin",Tungsten ,Molybdenum,Tin,,,,,,,1,1,0,,,
"Canadian Salt Co. Ltd., The ",,,,,,,Windsor ,Ontario,42.28071,-83.08224,1893,open,,,,,Salt,Salt,,,,,,,,This facility employs 110 and estimates their sales at $25–50 million a year.,1,1,0,,,
Miller Creek Concessions,Miller Creek Placers,,,,,,Mayo,Yukon,63.59427221,-135.8975643,1895,1953,,,,,Gold,Gold,,,,,,,,about 125 workers,1,1,1,https://tile.loc.gov/storage-services/public/gdcmassbookdig/guidetoyukongold00wils/guidetoyukongold00wils.pdf,https://emrlibrary.gov.yk.ca/ygs/ebooks/yukon-mineral-industry-1941-59.pdf,https://publications.gc.ca/collections/collection_2015/aadnc-aandc/R71-9-1959-1-fra.pdf
Vale Canada Limited,,,,,,Frood or Stobie,,Ontario,46.5402,-80.9933,1900,2017,,,,,"Nickel, Copper, Cobalt, Platinum, Gold, Silver, Selenium, Tellurium",Nickel,Copper,Cobalt,Platinum,Gold,Silver,Selenium,Tellurium,,1,1,1,https://www.cbc.ca/news/canada/sudbury/stobie-mine-demolition-1.5760846,https://www.mindat.org/loc-11253.html,
Brinco Mining Ltd.,San Antonio Gold Mines Ltd.,Harmony Gold (Canada) Inc.,,,,Rice Lake,Bissett,Manitoba,51.01777778,-95.66777778,1932,1968,1997,2015,,,Gold,Gold,,,,,,,,,1,1,1,https://www.manitoba.ca/iem/min-ed/mbhistory/mininv/273.htm,,
Lamaque Gold Mines Ltd.,Teck Corporation ,Century Mining Corporation,White Tiger Gold Ltd.,,,Lamarque,Bourlamaque ,Quebec,48.1005,-77.7594,1935,1985,2007,2008,2010,2012,Gold,Gold,,,,,,,,"In the 1973's 900A Map, this mine is reported as Lamaque Mining Co. Ltd.",1,1,1,https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=13338,https://depositum.uqat.ca/id/eprint/424/1/cahierhist6.pdf,
Teck-Corona Operating Corp.,Homestake Canada Inc. and Teck Corporation,Barrick Gold Corporation,Ardel Exploration,Teck Corp,,David Bell,Marathon ,Ontario,48.69583,-85.88293,1949,2014,,,,,Gold,Gold,,,,,,,,,1,1,1,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C12NW00002.html,,
Blue Note Mining Inc.,Selco ,New Jersey Zinc,,,,Restigouche,,New Brunswick,47.5041,-66.5547,1954,1998,2007,2008,,,"Zinc, Lead, Copper, Silver",Zinc,Lead,Copper,Silver,,,,,,1,1,1,https://www.mindat.org/loc-146662.html,https://books.google.ca/books/about/Restigouche_Mine_New_Brunswick_Developme.html?id=EUc8YgEACAAJ&redir_esc=y,
Flintkote Co. Of Canada Ltd.,Galen Gypsum Mines Limited,,,,,Coal Brook,Division No. 4 (Flat Bay St. Georges),Newfoundland-and-Labrador,48.37336915,-58.452258,1961,2009,2017,open,,,Gypsum,Gypsum,,,,,,,,Probably an opening and closure between 1987 and 2009,1,1,1,https://www.cbc.ca/news/canada/newfoundland-labrador/gypsum-mining-flat-bay-red-moon-resources-1.4816850,,
Kinross Gold Corporation ,Cross Lake Minerals Ltd.,Barkerville Gold Mines Ltd.,,,,QR,Quesnel,British Columbia,52.6717,-121.791,1996,1998,2007,2009,2010,2011,Pumice,Pumice,,,,,,,,,1,1,1,https://minfile.gov.bc.ca/Summary.aspx?minfilno=093A++121,,
Bell Asbestos Mines Ltd.,Societe nationale de I’amiante,,,,,Bell Asbestos,Thetford Mines ,Quebec,46.086168,-71.300829,1888,2008,,,,,Chrysotile,Chrysotile,,,,,,,,"FR: Dans les années 1980, le gouvernement du Québec a créé la Société nationale de l’amiante (SNA) et a procédé à la nationalisation de la mine Bell et de la Société Asbestos Ltée (mines British-Canadian, King-Beaver, National et Normandie). Les actifs de la SNA ont été vendus en 1992 à la société Mazarin. De 1986 jusqu’à sa faillite en 2007, c’est la société en commandite LAB Chrysotile qui a exploité les deux seules mines encore en activité : Bell et Lac d’Amiante. La société en commandite LAB Chrysotile avait comme objectif de rationaliser la production et la vente d’amiante. La commandite constitue une forme de délégation de pouvoirs où les entreprises mettent leurs actifs en commun sans perdre leur identité et remettent à un responsable le soin de gérer les affaires à leur place. Ce mode de fonctionnement a engendré la fermeture définitive de la mine National, de la mine Normandie, de la mine King-Beaver et de la mine British-Canadian.",1,1,1,https://gq.mines.gouv.qc.ca/documents/examine/DV9301/DV9301.pdf,http://www.asbestoscorporation.com/files/BAPE%20memoire%20remis%20admin%2026-2-2020.pdf,
Dominion Wabana Ore Ltd.,"Dominion Steel and Coal Corp. Ltd., Dominion Wabana Ore Division ",Dosco Industries Ltd.,,,,Wabanas Division,"Bell Island, Conception Bay, Avalon Peninsula in Newfoundland",Newfoundland-and-Labrador,47.64163614,-52.95309197,1895,1966,,,,,Iron,Iron,,,,,,,,"Even with this closure, the population continued to rise and by 1951 had reached 10,291. Of these, 1,994 were employed in ore operations and 7,499 were their dependents. These mining families made up 95 percent of the Island’s population",1,1,1,https://www.historic-wabana.com/mining-history.html,https://www.heritage.nf.ca/articles/economy/bell-island-work.php,
"Consolidated Mining and Smelting Co. of Canada Ltd., The (Bluebell)",Cominco Ltd.,,,,,Bluebell,Riondel ,British Columbia,49.7625,-116.86083,1895,1971,,,,,"Silver, Zinc, Lead, Copper, Cadmium, Gold",Silver,Zinc,Lead,Copper,Cadmium,Gold,,,,1,1,1,https://minfile.gov.bc.ca/summary.aspx?minfilno=082FNE043,,
Canadian Gypsum Co. Ltd.,,,,,,,Hillsborough ,New Brunswick,45.92,-64.67,1911,1980,,,,,Gypsum,Gypsum,,,,,,,,The mine was also in operation from 1888 to 1892.,1,1,1,https://www.ontarioabandonedplaces.com/new-brunswick/hillsborough/hillsborough-gypsum-mine,,
Keymet Mines Ltd,,,,,,Keymet,"Bathurst, Gloucester County",New Brunswick,47.80611111,-65.81083333,1913,1989,,,,,"Zinc, Lead, Copper, Gold, Silver",Zinc,Lead,Copper,Gold,Silver,,,,,1,1,1,https://www.onemine.org/document/abstract.cfm?docid=229847,,
Western Tungsten Copper Mines Ltd. ,,,,,,Red Rose,,British Columbia,55.136667,-127.601,1914,1954,,,,,"Tungsten, Copper",Tungsten,Copper,,,,,,,,1,1,1,https://cmscontent.nrs.gov.bc.ca/geoscience/publicationcatalogue/OpenFile/BCGS_OF2003-03.pdf,https://minfile.gov.bc.ca/summary.aspx?minfilno=093M%20%20067,
Darius Gold Mine Inc.,O'Brien Gold Mines Ltd. ,,,,,Darius O'Brien,Cadillac ,Quebec,48.234096,-78.403513,1933,1956,1978,1981,,,Gold,Gold,,,,,,,,,1,1,1,https://depositum.uqat.ca/id/eprint/424/1/cahierhist6.pdf,,
Sullivan Consolidated Mines Ltd.,,,,,,,,Quebec,48.128947,-77.837575,1934,1968,,,,,"Gold, Silver",Gold,Silver,,,,,,,different dates: https://depositum.uqat.ca/id/eprint/424/1/cahierhist6.pdf,1,1,1,,,
Canadian Malartic Gold Mines Ltd.,,,,,,Canadian Malartic,,Quebec,48.11333,-78.13167,1935,1965,2011,open,,,"Gold, Silver",Gold,Silver,,,,,,,,1,1,1,https://www.mindat.org/loc-256976.html,https://www.agnicoeagle.com/English/operations/operations/canadian-malartic/default.aspx,
Stadacona Mines (1994) Ltd.,,,,,,Stadacona,,Quebec,48.20611111,-79.03055556,1936,1958,,,,,Gold,Gold,,,,,,,,,1,1,1,https://www.mindat.org/loc-256899.html,,
Hallnor Mines Ltd.,,,,,,Hallnor,Pamour ,Ontario,48.51889,-81.1426,1936,1970 (see note),,,,,Gold,Gold,,,,,,,,1936-71: Hallnor Mines Ltd. - production and underground development work. 1971: production absorbed into Pamour production. ,1,1,1,http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42A11SE00019.html,,
Normetal Mining Corporation Ltd.,,,,,,Abana (Normetal),Normetal ,Quebec,49.00083,-79.36639,1937,1975,,,,,"Zinc, Copper, Pyrite, Silver, Gold",Zinc,Copper,Pyrite,Silver,Gold,,,,,1,1,1,https://www.mindat.org/loc-194599.html,,
Barnat Mines Ltd.,,,,,,Mine Barnat (Sladen),Malartic ,Quebec,48.133513,-78.106684,1938,1970,1976,1979,2019,open,"Gold, Copper, Iron, Lead, Tellurium, Silver",Gold,Copper,Iron,Lead,Tellurium,Silver,,,,1,1,1,https://www.agnicoeagle.com/English/operations/operations/canadian-malartic/default.aspx,https://depositum.uqat.ca/id/eprint/424/1/cahierhist6.pdf,
Malartic GoldField Ltd. ,,,,,,,,Quebec,48.1120389,-78.13148984,1939,1965,,,,,Gold,Gold,,,,,,,,,1,1,1,https://depositum.uqat.ca/id/eprint/424/1/cahierhist6.pdf,https://www.communitystories.ca/v2/ruees-vers-lor-malartic_gold-rush/gallery/malartic-goldfield-limited-1939-1965/,
Tulsequah Mines Ltd.,Cominco,,,,,,,British Columbia,58.735833,-133.60111,1939,1957,,,,,"Zinc, Copper, Lead, Silver, Gold, Cadmium",Zinc,Copper,Lead,Silver,Gold,Cadmium,,,,1,1,1,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-permitting-compliance/tulsequah-mine,,
Broughton Soapstone and Quarry Co. Ltd.,B.S.Q. Talc Inc.,Luzcan Inc.,Luzenac Inc.,,,,St-Pierre-de-Broughton,Quebec,46.26,-71.21889,1940,2001,,,,,"Soapstones, Talc",Soapstones,Talc,,,,,,,"Formerly: Broughton Mine (Luzcan mine; Carrière rang XV), St-Pierre-de-Broughton (West Broughton), Mégantic Co., Québec, Canada

Situated just 1 km south of the Harvey Hill Mine on the 15th Rang (Rang XV) in St-Pierre-de-Broughton, Quebec. The mine is an open pit about 500 m long by 150 m wide, and 15 m deep. A former soapstone and talc mine extracting talc from talc/carbonate schist. The deposit is associated with the Black Lake - Thetford Mines ophiolitic complex. The last operator of the mine was Luzcan, the Canadian subsidiary of Group Luzenac. It should be noted that the former name of the town was West Broughton, which still exists in older literature. L'ancienne mine Broughton est située dans la municipalité de Saint-Pierre-de-Broughton. Son gisement, découvert en 1925, a été exploité pour la stéatite, communément appelé « pierre à savon ». La production à cette mine s'est faite de manière intermittente et par différentes compagnies dont la Broughton Soapstone and Quarry Company, Limited (Talc BSQ inc.). Le site contient une excavation mesurant 500 mètres de long sur 150 mètres de large et plus de 15 mètres de profond. Celle-ci n'est pas remplie d'eau, ce qui nous permet de constater les travaux qui y ont été effectués. Dans les dernières années de son exploitation, la roche riche en talc était extraite par simple rabotage au moyen d'une pelle hydraulique Caterpillar 235. L'exploitation était faite par tranches de 3 mètres de hauteur et les travaux effectués sur deux gradins. Il est possible de voir à certains endroits les traces dans la roche qu'a laissées la pelle hydraulique.

Le gisement exposé a la forme d'un croissant. Le gisement est surtout constitué de schiste à talc et à carbonates avec un coeur de serpentinite partiellement chloritisée, talcifiée et cabonatée. Le minerai exploité est un schiste à talc et à carbonates gris verdâtre à grains moyens ou grossier. En 1985, la compagnie Luzenac a acquis le site, mais celle-ci a cessé ses activités en 2001 en raison de la présence de fibres d'amiante dans le minerai.",1,1,1,https://www.mindat.org/loc-106225.html,https://www.patrimoine-culturel.gouv.qc.ca/rpcq/detail.do?methode=consulter&id=201119&type=bien,
Pembina Mountain Clays Ltd.,,,,,,,Morden ,Manitoba,49.21666667,-98.26666667,1940,1990,,,,,Bentonite,Bentonite,,,,,,,,,1,1,1,https://mrsearch.gov.mb.ca/dbtw-wpd/exec/dbtwpub.dll?AC=GET_RECORD&XC=/dbtw-wpd/exec/dbtwpub.dll&BU=https%3A%2F%2Fmrsearch.gov.mb.ca%2FItm-cat%2Fweb%2Fminsearch.html&GI=&TN=mineralinventorycard&SN=AUTO14818&SE=245&RN=0&MR=0&TR=0&TX=1000&ES=0&XP=&RF=Web%3A+Brief&EF=Basic+Record+Form&DF=Viewing+PrintingWeb&RL=1&EL=1&DL=1&NP=3&ID=&MF=&DT=&ST=0&IR=749&NR=0&NB=0&SV=0&SS=1&BG=&FG=&QS=minsearch,,
Ascot Metals Corp. Ltd. ,,,,,,,,Quebec,45.34757,-71.905729,1942,1956,,,,,"Copper, Silver, Zinc, Lead",Copper,Silver,Zinc,Lead,,,,,,1,1,1,https://publications.gc.ca/collections/Collection/M39-78-2001E.pdf,,
Manitou-Barvue Mines Ltds. ,Golden Manitou Mines Ltd. ,Louvem Mining Co. Inc ,,,,Manitou-Barvue,Val d’Or ,Quebec,48.087043,-77.609176,1942,1979,1992,1994,,,"Copper, Zinc, Silver, Gold, Lead, Arsenic",Copper,Zinc,Silver,Gold,Lead,Arsenic,,,,1,1,1,https://depositum.uqat.ca/id/eprint/424/1/cahierhist6.pdf,https://www.mindat.org/loc-195155.html,
New Calumet Mines Ltd. ,,,,,,,,Quebec,45.700357,-76.67726,1943,1968,,,,,"Zinc, Lead, Silver, Gold, Copper",Zinc,Lead,Silver,Gold,Copper,,,,,1,1,1,https://www.mindat.org/loc-16931.html,,
United Keno Hill Mines Ltd. ,,,,,,Elsa,,Yukon,63.91667,-135.41667,1947,1989,1996,2013,1996,2013,"Silver, Lead, Zinc, Gold",Silver,Lead,Zinc,Gold,,,,,"The mine was also in operation from 1934 to 1940 //// 186 workers - The Keno Hill Mine closed abruptly in 1989 due to falling mineral prices. //Elsa is a ghost town with no remaining residents. The shut-down of the mine in 1989 left serious environmental impacts behind. In 2006, the Yukon Government sold the assets of the previous United Keno Hill Mine to Alexco Resource Corp, and they resumed silver mining in 2009. Alexco Resource Corp is the current owner of Elsa and the mining activity in the area, which fluctuates according to mineral prices.",1,1,1,https://www.explorenorth.com/library/mining/united_keno_hill_mines.html,,
United Montauban Mines Ltd. ,,,,,,Mountabaun,Montauban,Quebec,46.82744292,-72.34215503,1948,1955,1983,1990,,,"Lead, Zinc, Gold, Silver",Lead,Zinc,Gold,Silver,,,,,"small scale - Alternative name since 1985 is Muscocho Explorations Ltd., Montauban ",1,1,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084898,,
Kluane Dredging Co. Ltd.,,,,,,,,Yukon,61.3203636,-138.7313569,1948,1954,,,,,Gold,Gold,,,,,,,,gold rush,1,1,1,https://publications.gc.ca/collections/collection_2015/aadnc-aandc/R71-9-1959-1-eng.pdf,https://emrlibrary.gov.yk.ca/ygs/ebooks/yukon-mineral-industry-1941-59.pdf,
Anvil Mining Corp. Ltd.,Cyprus Anvil Mining Corporation,Yukon Coal Co. Ltd.,,,,Tantalus Coal,Carmacks ,Yukon,62.12361111,-136.2636111,1948,1967,1970,1982,,,Coal,Coal,,,,,,,,250 workers //Tantalus and Tantalus Butte Coal Mines,1,1,1,https://explorenorth.com/library/mining/tantaluscoal.html,,
East Sullivan Mines Ltd. ,Sullico Mines Ltd. ,,,,,Mine East Sullivan (Sullico),,Quebec,48.071491,-77.711431,1949,1967,,,,,"Copper, Zinc, Silver, Gold, Arsenic, Cadmium, Iron",Copper,Zinc,Silver,Gold,Arsenic,Cadmium,Iron,,,1,1,1,https://www.juniorminingnetwork.com/junior-miner-news/press-releases/2258-cse/tusk/81259-black-tusk-resources-inc-completes-data-compilation-mogold-project-val-d-or-quebec.html,,
Sifto Salt Ltd. ,Domtar Chemicals Ltd.,Compass Minerals,Prairie Salt Co. Ltd. ,,,Sifto Salt Division,Unity ,Saskatchewan,52.41947,-109.103274,1949,open,,,,,Salt,Salt,,,,,,,,"At one time the plant employed 120 people but with the addition of automation, manual labor was not as productive or cost effective. Still, Compass Minerals remains one of Unity’s largest employers.",1,1,1,https://www.sasktoday.ca/north/local-news/compass-minerals-recognizes-70th-anniversary-in-unity-4138707,http://saskmining.ca/fileLibrary/0_History%20of%20Mining%20in%20Saskatchewan.pdf,
