Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Colubridae,Dendrelaphis grandoculis,135,,,roundish,rear-fanged,unclear toxicity,,Southern Bronzeback
Colubridae,Dendrelaphis grismeri,,,,,rear-fanged,unclear toxicity,,Moluccan Painted Bronzeback
Colubridae,Dendrelaphis haasi,,,,,rear-fanged,unclear toxicity,,Haas’s Bronzeback snake
Colubridae,Dendrelaphis hollinrakei,65,,,roundish,rear-fanged,unclear toxicity,,Shek Kwu Chau Bronzeback
Colubridae,Dendrelaphis humayuni,124,,,roundish,rear-fanged,unclear toxicity,,Tiwar's Bronzeback
Colubridae,Dendrelaphis inornatus,120,,,roundish,rear-fanged,unclear toxicity,,Lesser Sundas Bronzeback
Colubridae,Dendrelaphis keiensis,,,,,rear-fanged,unclear toxicity,,Kei tree snake
Colubridae,Dendrelaphis kopsteini,143,,,roundish,rear-fanged,unclear toxicity,,Kopstein’s Bronzeback Snake
Colubridae,Dendrelaphis levitoni,,,,,rear-fanged,unclear toxicity,,Palawan Stripe tailed Bronzeback
Colubridae,Dendrelaphis lineolatus,,,,,rear-fanged,unclear toxicity,,Bicolored bronzeback
Colubridae,Dendrelaphis lorentzii,85,,,roundish,rear-fanged,unclear toxicity,,Lorentz River treesnake
Colubridae,Dendrelaphis luzonensis,,,,,rear-fanged,unclear toxicity,,Luzon Stripe tailed Bronzeback
Colubridae,Dendrelaphis macrops,,,,,rear-fanged,unclear toxicity,,Big head bronzeback
Colubridae,Dendrelaphis marenae,,,,,rear-fanged,unclear toxicity,,Maren’s Bronzeback
Colubridae,Dendrelaphis modestus,,,,,rear-fanged,unclear toxicity,,Striped Bronzeback
Colubridae,Dendrelaphis ngansonensis,150,,,roundish,rear-fanged,unclear toxicity,,Nganson Bronzeback Tree Snake
Colubridae,Dendrelaphis nigroserratus,,,,,rear-fanged,unclear toxicity,,Saw tooth necked Bronzeback
Colubridae,Dendrelaphis oliveri,100,,,roundish,rear-fanged,unclear toxicity,,Oliver's Bronzeback
Colubridae,Dendrelaphis papuensis,105,,,roundish,rear-fanged,venomous bite – potentially dangerous,,Papuan treesnake
Colubridae,Dendrelaphis philippinensis,,,,,rear-fanged,unclear toxicity,,Mindanao Stripe tailed Bronzeback
Colubridae,Dendrelaphis pictus,143,,,roundish,rear-fanged,unclear toxicity,,Indonesian bronzeback
Colubridae,Dendrelaphis proarchos,,,,,,,,
Colubridae,Dendrelaphis punctulatus,200,166.3,,roundish,"non-fanged, rear-fanged",unclear toxicity,oviparous,Green Tree Snake
Colubridae,Dendrelaphis schokari,,,,,rear-fanged,unclear toxicity,,Common Sri Lanka Bronzeback
Colubridae,Dendrelaphis striatus,110,,,roundish,rear-fanged,unclear toxicity,,Banded Bronzeback
Colubridae,Dendrelaphis striolatus,,,,,rear-fanged,unclear toxicity,,Palau islands bronzeback
Colubridae,Dendrelaphis subocularis,113,,,roundish,rear-fanged,unclear toxicity,,Burmese Bronzeback
Colubridae,Dendrelaphis terrificus,,,,,rear-fanged,unclear toxicity,,Terrific Bronzeback
Colubridae,Dendrelaphis tristis,169,,,roundish,rear-fanged,unclear toxicity,,Common Bronzeback Tree Snake
Colubridae,Dendrelaphis underwoodi,,,,,rear-fanged,unclear toxicity,,Underwood’s Bronzeback snake
Colubridae,Dendrelaphis vogeli,,,,,,,,
Colubridae,Dendrelaphis walli,,,,,rear-fanged,unclear toxicity,,Southern Burmese Bronzeback
Colubridae,Dendrelaphis wickrorum,,,,,,,,
Elapidae,Dendroaspis angusticeps,280,282.4,7.7,roundish,front-fanged,venomous bite – very dangerous,oviparous,Eastern green mamba
Elapidae,Dendroaspis jamesoni,265,,8,roundish,front-fanged,venomous bite – very dangerous,oviparous,
Elapidae,Dendroaspis polylepis,430,1600,13,roundish,front-fanged,venomous bite – extremely dangerous,oviparous,Black mamba
Elapidae,Dendroaspis viridis,250,,6.7,roundish,front-fanged,venomous bite – very dangerous,oviparous,Western green mamba
Lamprophiidae,Dendrolycus elapoides,41,,,vertical slit,non-fanged,unclear toxicity,,Cameroon Rainforest Snake
Colubridae,Dendrophidion apharocybe,,,,,rear-fanged,unclear toxicity,,Central American Barred Forest Racer
Colubridae,Dendrophidion atlantica,,,,,rear-fanged,unclear toxicity,,Atlantic Forest Racer
Colubridae,Dendrophidion bivittatus,80,,,roundish,rear-fanged,unclear toxicity,,Forest Racer
Colubridae,Dendrophidion boshelli,,,,,rear-fanged,unclear toxicity,,Hoshell's Forest Racer
Colubridae,Dendrophidion brunneum,,,,,rear-fanged,unclear toxicity,,Günther's Forest Racer
Colubridae,Dendrophidion clarkii,,,,,rear-fanged,unclear toxicity,,Clark's Forest Racer
Colubridae,Dendrophidion crybelum,,,,,rear-fanged,unclear toxicity,,Costa Rican Barred Forest Racer
Colubridae,Dendrophidion dendrophis,126,20.3,,roundish,rear-fanged,unclear toxicity,,Olive Forest Racer
Colubridae,Dendrophidion graciliverpa,,,,,rear-fanged,unclear toxicity,,El Oro Forest Racer
Colubridae,Dendrophidion nuchale,153,,,roundish,rear-fanged,unclear toxicity,,Peters' Forest Racer
Colubridae,Dendrophidion paucicarinatum,138,,,roundish,rear-fanged,unclear toxicity,,Cope's Forest Racer
Colubridae,Dendrophidion percarinatum,148,,,roundish,rear-fanged,unclear toxicity,,South American Forest Racer
Colubridae,Dendrophidion prolixum,,,,,rear-fanged,unclear toxicity,,Cauca Forest Racer
Colubridae,Dendrophidion rufiterminorum,,,,,rear-fanged,unclear toxicity,,Northern Black naped Forest Racer
Colubridae,Dendrophidion vinitor,145,,,roundish,rear-fanged,unclear toxicity,,Barred Forest Racer
Elapidae,Denisonia devisi,60,,,vertical slit,front-fanged,venomous bite – dangerous,live birth (unspecific),mud adder
Elapidae,Denisonia maculata,50,,,vertical slit,front-fanged,venomous bite – dangerous,,Ornamental snake
Colubridae,Diadophis punctatus,75,19,,roundish,rear-fanged,venomous bite – potentially dangerous,oviparous,Ringneck Snake
Colubridae,Diaphorolepis laevis,68,,,roundish,rear-fanged,unclear toxicity,,Colombian Frog eating Snake
Colubridae,Diaphorolepis wagneri,68,,,roundish,rear-fanged,unclear toxicity,,Ecuador Frog eating Snake
Colubridae,Dibernardia affinis,71,,,roundish,rear-fanged,unclear toxicity,,Atlantic Forest Leaf litter Snake
Colubridae,Dibernardia bilineata,40,,,roundish,rear-fanged,unclear toxicity,,Two striped Leaf litter Snake
Colubridae,Dibernardia persimilis,44,,,roundish,rear-fanged,unclear toxicity,,Rio de Janeiro Leaf litter Snake
Colubridae,Dibernardia poecilopogon,56,,,roundish,rear-fanged,unclear toxicity,,Uruguayan Leaf litter Snake
Homalopsidae,Dieurostus dussumieri,75,,,vertical slit,rear-fanged,venomous bite – potentially dangerous,,Kerala Mud Snake
Colubridae,Dipsadoboa aulica,85,,,vertical slit,rear-fanged,venomous bite – potentially dangerous,,Cross barred Snake
Colubridae,Dipsadoboa brevirostris,80,,,vertical slit,rear-fanged,unclear toxicity,oviparous,Short head Rear fanged Tree Snake
Colubridae,Dipsadoboa duchesnii,140,,,vertical slit,rear-fanged,unclear toxicity,oviparous,Blue tailed Nocturnal Tree Snake
Colubridae,Dipsadoboa flavida,79,,,vertical slit,rear-fanged,unclear toxicity,,Northern Marbled Nocturnal Tree Snake
Colubridae,Dipsadoboa kageleri,,,,vertical slit,,,,
Colubridae,Dipsadoboa montisilva,,,,vertical slit,,,,
Colubridae,Dipsadoboa riparia,,,,vertical slit,,,,
Colubridae,Dipsadoboa shrevei,118,,,vertical slit,rear-fanged,unclear toxicity,,Shreve's Nocturnal Tree Snake
Colubridae,Dipsadoboa underwoodi,61,,,vertical slit,rear-fanged,unclear toxicity,,Underwood's Nocturnal Tree Snake
Colubridae,Dipsadoboa unicolor,133,,,vertical slit,rear-fanged,unclear toxicity,,Günther's Green Tree Snake
Colubridae,Dipsadoboa viridis,128,,,vertical slit,rear-fanged,unclear toxicity,oviparous,Gracile Nocturnal Tree Snake
Colubridae,Dipsadoboa weileri,96,,,vertical slit,rear-fanged,unclear toxicity,oviparous,Weiler's Tree Snake
Colubridae,Dipsadoboa werneri,118,,,vertical slit,rear-fanged,unclear toxicity,,Werner's Green Tree Snake
Colubridae,Dipsas albifrons,92,,,,rear-fanged,unclear toxicity,,Sauvage's Snail eater
Colubridae,Dipsas alternans,,,,vertical slit,rear-fanged,unclear toxicity,,Jan's Snail eater
Colubridae,Dipsas andiana,,,,,rear-fanged,unclear toxicity,,Andean Snail Eater
Colubridae,Dipsas aparatiritos,,,,,,,,
Colubridae,Dipsas articulata,72,,,,rear-fanged,unclear toxicity,,American Snail eater
Colubridae,Dipsas baliomelas,,,,,rear-fanged,unclear toxicity,,Macarena Mountains Snail Eater
Colubridae,Dipsas bicolor,52,,,,rear-fanged,unclear toxicity,,Two colored Snail eater
Colubridae,Dipsas bobridgelyi,,,,,,,,
Colubridae,Dipsas bothropoides,,,,,,,,
Colubridae,Dipsas brevifacies,53,,,,rear-fanged,unclear toxicity,,Snail eating Thirst Snake
Colubridae,Dipsas bucephala,,,,vertical slit,rear-fanged,unclear toxicity,,Neotropical Snail eater
Colubridae,Dipsas catesbyi,82,11.3,,,rear-fanged,unclear toxicity,,Catesby's Snail eater
Colubridae,Dipsas chaparensis,83,,,vertical slit,rear-fanged,unclear toxicity,,Chapare Snail Eater
Colubridae,Dipsas cisticeps,,,,,rear-fanged,unclear toxicity,,Neotropical Snail eater
Colubridae,Dipsas copei,75,,,,rear-fanged,unclear toxicity,,Guianan Snail Eater
Colubridae,Dipsas elegans,,,,,rear-fanged,unclear toxicity,,Caracolera subtropical
Colubridae,Dipsas ellipsifera,65,,,,rear-fanged,unclear toxicity,,Ibarra Snail Eater
Colubridae,Dipsas gaigeae,45,,,,rear-fanged,unclear toxicity,,Gaige's Thirst Snail eater
Colubridae,Dipsas georgejetti,,,,,,,,
Colubridae,Dipsas gracilis,77,,,,rear-fanged,unclear toxicity,,Graceful Snail eater
Colubridae,Dipsas incerta,84,,,,rear-fanged,unclear toxicity,,Jan's Snail eater
Colubridae,Dipsas indica,83,4.5,,vertical slit,rear-fanged,unclear toxicity,,Neotropical Snail eater
Colubridae,Dipsas jamespetersi,61,,,,rear-fanged,unclear toxicity,,Zhila Slug Eater
Colubridae,Dipsas klebbai,,,,,,,,
Colubridae,Dipsas latifrontalis,,,,,,,,
Colubridae,Dipsas lavillai,,,,,,,,
Colubridae,Dipsas maxillaris,41,,,,rear-fanged,unclear toxicity,,Werner's Thirst Snake
Colubridae,Dipsas mikanii,62,12,,,rear-fanged,unclear toxicity,,Brazilian White collared Slug Eater
Colubridae,Dipsas neuwiedi,95,,,,rear-fanged,unclear toxicity,,Neuwied's Tree Snake
Colubridae,Dipsas nicholsi,,,,,rear-fanged,unclear toxicity,,Panamanian Snail Eater
Colubridae,Dipsas oligozonata,36,,,,rear-fanged,unclear toxicity,,Azuay Slug Eater
Colubridae,Dipsas oneilli,40,,,,rear-fanged,unclear toxicity,,O'Neill's Tree Snake
Colubridae,Dipsas oreas,70,,,,rear-fanged,unclear toxicity,,Ecuador Snail eater
Colubridae,Dipsas oswaldobaezi,,,,,,,,
Colubridae,Dipsas pakaraima,80,,,,rear-fanged,unclear toxicity,,Pakaraima Mountains Snail Eater
Colubridae,Dipsas palmeri,,,,,,,,
Colubridae,Dipsas pavonina,81,,,,rear-fanged,unclear toxicity,,Northern Snail eater
Colubridae,Dipsas peruana,102,,,,rear-fanged,unclear toxicity,,Peru Snail eater
Colubridae,Dipsas praeornata,,,,,rear-fanged,unclear toxicity,,Venezuelan Snail Eater
Colubridae,Dipsas pratti,77,,,,rear-fanged,unclear toxicity,,Pratt's Snail eater
Colubridae,Dipsas sanctijoannis,90,,,,rear-fanged,unclear toxicity,,Tropical Snail eater
Colubridae,Dipsas sazimai,,,,,rear-fanged,unclear toxicity,,Atlantic Forest Snail Eater
Colubridae,Dipsas schunkii,95,,,,rear-fanged,unclear toxicity,,Schunk's Snail eater
Colubridae,Dipsas temporalis,68,,,,rear-fanged,unclear toxicity,,Temporal Snail eater
Colubridae,Dipsas tenuissima,56,,,,rear-fanged,unclear toxicity,,Taylor's Snail eater
Colubridae,Dipsas trinitatis,,,,,rear-fanged,unclear toxicity,,Trinidad Snail eater
Colubridae,Dipsas turgida,65,,,,rear-fanged,unclear toxicity,,Bolivian Tree Snake
Colubridae,Dipsas vagrans,55,,,,rear-fanged,unclear toxicity,,Dunn's Tree Snake
Colubridae,Dipsas vagus,55,,,,rear-fanged,unclear toxicity,,Jan's Tree Snake
Colubridae,Dipsas variegata,98,46.7,,,rear-fanged,unclear toxicity,,Variegated Snail eater
Colubridae,Dipsas ventrimaculata,61,,,roundish,rear-fanged,unclear toxicity,,Boulenger's Tree Snake
Colubridae,Dipsas vermiculata,61,,,,rear-fanged,unclear toxicity,,Vermiculate Snail eater
Colubridae,Dipsas viguieri,65,,,,rear-fanged,unclear toxicity,,Bocourt's Snail eater
Colubridae,Dipsas welborni,,,,,,,,
Colubridae,Dipsas williamsi,74,,,,rear-fanged,unclear toxicity,,Williams' Tree Snake
Psammophiidae,Dipsina multimaculata,60,,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Western Beaked Snake
Colubridae,Dispholidus pembae,,,,,,,,
Colubridae,Dispholidus punctatus,,,,,,,,
Colubridae,Dispholidus typus,213,510,5.2,horizontal teardrop,rear-fanged,venomous bite – very dangerous,"oviparous, ovoviviparous",Boomslang
Colubridae,Ditaxodon taeniatus,87,,,roundish,rear-fanged,unclear toxicity,,Hensel's Snake
Pseudoxyrhophiidae,Ditypophis vivax,40,,,vertical slit,rear-fanged,unclear toxicity,,Günther's Racer
Homalopsidae,Djokoiskandarus annulata,80,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,
Colubridae,Dolichophis andreanus,75,,,roundish,rear-fanged,unclear toxicity,,Andreas’ Racer
Colubridae,Dolichophis caspius,250,,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Caspian whip snake
Colubridae,Dolichophis jugularis,300,692,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,large whip snake
Colubridae,Dolichophis schmidti,170,,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,schmidt's whip snake
Colubridae,Drepanoides anomalus,83,28.6,,indiscernible,rear-fanged,unclear toxicity,,Black collared Snake
Pseudoxyrhophiidae,Dromicodryas bernieri,117,,,roundish,rear-fanged,unclear toxicity,,Bernier's Striped Snake
Pseudoxyrhophiidae,Dromicodryas quadrilineatus,120,,,roundish,rear-fanged,unclear toxicity,,Four striped Snake
Colubridae,Drymarchon caudomaculatus,173.2,,,roundish,rear-fanged,unclear toxicity,,Spot tailed Cribo
Colubridae,Drymarchon corais,295,829,,roundish,rear-fanged,unclear toxicity,,blacktail indigo snake
Colubridae,Drymarchon couperi,270,1759,,roundish,rear-fanged,unclear toxicity,,Gopher Snake
Colubridae,Drymarchon margaritae,,,,,rear-fanged,unclear toxicity,,Margarita Indigo Snake
Colubridae,Drymarchon melanurus,,,,,rear-fanged,unclear toxicity,,Blacktail Cribo
Colubridae,Drymobius chloroticus,120,,,roundish,rear-fanged,unclear toxicity,,Green Highland Racer
Colubridae,Drymobius margaritiferus,134,,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Northern Speckled Racer
Colubridae,Drymobius melanotropis,111,,,roundish,rear-fanged,unclear toxicity,,Black Forest Racer
Colubridae,Drymobius rhombifer,120,55.2,,roundish,rear-fanged,unclear toxicity,,Esmarald Racer
Colubridae,Drymoluber apurimacensis,94,,,roundish,rear-fanged,unclear toxicity,,Apurímac Woodland Racer
Colubridae,Drymoluber brazili,159,86,,roundish,rear-fanged,unclear toxicity,,Brazilian Woodland Racer
Colubridae,Drymoluber dichrous,150,119.3,,roundish,rear-fanged,unclear toxicity,,Northern Woodland Racer
Colubridae,Dryophiops philippina,75,,,horizontal keyhole,rear-fanged,unclear toxicity,,Philippine Whip Snake
Colubridae,Dryophiops rubescens,120,,,horizontal keyhole,rear-fanged,unclear toxicity,,Brown Whip Snake
Colubridae,Dryophylax almae,76,,,vertical slit,rear-fanged,unclear toxicity,,Jararaca Mock Viper
Colubridae,Dryophylax ceibae,,,,,rear-fanged,unclear toxicity,,La Ceiba Mock Viper
Colubridae,Dryophylax chaquensis,73,,,,rear-fanged,unclear toxicity,,Chaco Mock Viper
Colubridae,Dryophylax chimanta,43,,,,rear-fanged,unclear toxicity,,Roze's Coastal House Snake
Colubridae,Dryophylax corocoroensis,26,,,,rear-fanged,unclear toxicity,,Corocoro Mock Viper
Colubridae,Dryophylax dixoni,,,,,rear-fanged,unclear toxicity,,Apure Mock Viper
Colubridae,Dryophylax duida,46,,,,rear-fanged,unclear toxicity,,Cerro Duida Mock Viper
Colubridae,Dryophylax gambotensis,53,,,vertical slit,rear-fanged,unclear toxicity,,Gambote Mock Viper
Colubridae,Dryophylax hypoconia,70,20.4,,,rear-fanged,unclear toxicity,,Argentine Mock Viper
Colubridae,Dryophylax marahuaquensis,40,,,,rear-fanged,unclear toxicity,,Marahuaca Mock Viper
Colubridae,Dryophylax nattereri,,,,,,,,
Colubridae,Dryophylax paraguanae,,,,,rear-fanged,unclear toxicity,,Paraguana Mock Viper
Colubridae,Dryophylax phoenix,,,,,rear-fanged,unclear toxicity,,Phoenix mock viper
Colubridae,Dryophylax ramonriveroi,,,,,rear-fanged,unclear toxicity,,Turimiquire Mock Viper
Colubridae,Dryophylax yavi,39,,,,rear-fanged,unclear toxicity,,Cerro Yaví Mock Viper
Elapidae,Drysdalia coronoides,51,,,roundish,front-fanged,venomous bite – potentially dangerous,oviparous,White lipped snake
Elapidae,Drysdalia mastersii,40,,,roundish,front-fanged,venomous bite – potentially dangerous,live birth (unspecific),Master's snake
Elapidae,Drysdalia rhodogaster,46,,,roundish,front-fanged,venomous bite – potentially dangerous,,Mustard bellied snake
Pseudoxyrhophiidae,Duberria lutrix,45,,,roundish,non-fanged,non-venomous,,Common Slug Eater
Pseudoxyrhophiidae,Duberria rhodesiana,,,,,non-fanged,unclear toxicity,,Zimbabwean Slug Eater
Pseudoxyrhophiidae,Duberria shirana,,,,,non-fanged,unclear toxicity,,Shire Slug Eater
Pseudoxyrhophiidae,Duberria variegata,39,,,roundish,non-fanged,unclear toxicity,,Spotted Slug Eater
Colubridae,Echinanthera cephalomaculata,56,,,roundish,rear-fanged,unclear toxicity,,Head spotted Leaf litter Snake
Colubridae,Echinanthera cephalostriata,76,,,roundish,rear-fanged,unclear toxicity,,Head striped Leaf litter Snake
Colubridae,Echinanthera cyanopleura,82,,,roundish,rear-fanged,unclear toxicity,,Blue flanked Leaf litter Snake
Colubridae,Echinanthera melanostigma,91,,,roundish,rear-fanged,unclear toxicity,,Black marked Leaf litter Snake
Colubridae,Echinanthera undulata,52,,,roundish,rear-fanged,unclear toxicity,,Wellenstreifige Natter
Elapidae,Echiopsis curta,71,,,roundish,front-fanged,venomous bite – potentially dangerous,live birth (unspecific),Bardick
Viperidae,Echis borkini,50,,,vertical slit,front-fanged,venomous bite – very dangerous,,Borkin's Viper
Viperidae,Echis carinatus,90,92.8,,vertical slit,front-fanged,venomous bite – very dangerous,oviparous,Saw scaled viper
Viperidae,Echis coloratus,90,,,vertical slit,front-fanged,venomous bite – very dangerous,oviparous,painted saw scaled viper
Viperidae,Echis hughesi,32,,,vertical slit,front-fanged,venomous bite – very dangerous,,Hughes' carpet viper
Viperidae,Echis jogeri,50,,,vertical slit,front-fanged,venomous bite – very dangerous,,Joger's carpet viper
Viperidae,Echis khosatzkii,60,,,vertical slit,front-fanged,venomous bite – very dangerous,,Khosatzki's saw scaled viper
Viperidae,Echis leucogaster,87,,,vertical slit,front-fanged,venomous bite – very dangerous,oviparous,White bellied carpet viper
Viperidae,Echis megalocephalus,62,,,vertical slit,front-fanged,venomous bite – very dangerous,,Big headed carpet viper
Viperidae,Echis ocellatus,65,,,vertical slit,front-fanged,venomous bite – very dangerous,oviparous,West African carpet viper
Viperidae,Echis omanensis,75,,,vertical slit,front-fanged,venomous bite – very dangerous,,Oman saw scaled viper
Viperidae,Echis pyramidum,85,76.6,,vertical slit,front-fanged,venomous bite – dangerous,oviparous,Egyptian saw scaled viper
Viperidae,Echis romani,,,,vertical slit,,,,Roman's carpet viper
Colubridae,Eirenis africanus,40,,,roundish,rear-fanged,unclear toxicity,,African Dwarf Snake
Colubridae,Eirenis aurolineatus,45,,,roundish,rear-fanged,unclear toxicity,,Golden striped Dwarf Snake
Colubridae,Eirenis barani,44,,,roundish,rear-fanged,unclear toxicity,,Baran Dwarf Racer
Colubridae,Eirenis collaris,38,,,roundish,rear-fanged,unclear toxicity,oviparous,Collared Dwarf Racer
Colubridae,Eirenis coronella,36,6.1,,roundish,rear-fanged,unclear toxicity,oviparous,Crowned Dwarf Racer
Colubridae,Eirenis coronelloides,175,4.3,,,rear-fanged,unclear toxicity,,Sinai Dwarf Racer
Colubridae,Eirenis decemlineatus,90,29.4,,roundish,rear-fanged,unclear toxicity,,Narrow striped Dwarf Snake
Colubridae,Eirenis eiselti,40,,,roundish,rear-fanged,unclear toxicity,oviparous,Eiselt's Dwarf Racer
Colubridae,Eirenis hakkariensis,60,,,roundish,rear-fanged,unclear toxicity,,Hakkari Zwergnatter
Colubridae,Eirenis kermanensis,,,,,rear-fanged,unclear toxicity,,Kerman Dwarf Snake
Colubridae,Eirenis levantinus,39,,,,rear-fanged,unclear toxicity,,Asia Minor Dwarf Racer
Colubridae,Eirenis lineomaculatus,30,,,roundish,rear-fanged,unclear toxicity,oviparous,Spotted line Dwarf Snake
Colubridae,Eirenis medus,43,,,roundish,rear-fanged,unclear toxicity,,Ashkhabad dwarf racer
Colubridae,Eirenis modestus,61,15.5,,roundish,rear-fanged,unclear toxicity,oviparous,Asia Minor Dwarf Racer
Colubridae,Eirenis nigrofasciatus,,,,,,,,
Colubridae,Eirenis occidentalis,,,,,rear-fanged,unclear toxicity,,Western dwarf racer
Colubridae,Eirenis persicus,50,,,roundish,rear-fanged,unclear toxicity,oviparous,Dark headed Dwarf Racer
Colubridae,Eirenis punctatolineatus,58,,,roundish,rear-fanged,unclear toxicity,,Dotted Dwarf Racer
Colubridae,Eirenis rafsanjanicus,,,,roundish,,,,
Colubridae,Eirenis rechingeri,35,,,,rear-fanged,unclear toxicity,,Iranian Dwarf Snake
Colubridae,Eirenis rothii,39,1.6,,roundish,rear-fanged,unclear toxicity,oviparous,Roth's Dwarf Racer
Colubridae,Eirenis thospitis,55,,,roundish,rear-fanged,unclear toxicity,,Thuspa Zwergnatter
Colubridae,Eirenis yassujicus,,,,roundish,,,,
Colubridae,Elaphe anomala,184,,,roundish,rear-fanged,unclear toxicity,,Amur rat snake
Colubridae,Elaphe bimaculata,110,,,roundish,rear-fanged,unclear toxicity,,twin spotted rat snake
Colubridae,Elaphe cantoris,200,,,roundish,rear-fanged,unclear toxicity,,Eastern Trinket Snake
Colubridae,Elaphe carinata,250,2167,,roundish,rear-fanged,unclear toxicity,oviparous,king rat snake
Colubridae,Elaphe climacophora,223,331.4,,roundish,rear-fanged,venomous bite – potentially dangerous,,Japanese rat snake
Colubridae,Elaphe davidi,140,,,roundish,rear-fanged,unclear toxicity,,Pere David's Rat Snake
Colubridae,Elaphe dione,150,,,roundish,rear-fanged,unclear toxicity,oviparous,Dione rat snake
Colubridae,Elaphe druzei,,,,,,,,
Colubridae,Elaphe hodgsoni,208,,,roundish,rear-fanged,unclear toxicity,,Himalayan Trinket
Colubridae,Elaphe moellendorffi,248,,,roundish,rear-fanged,unclear toxicity,,Flower Snake
Colubridae,Elaphe quadrivirgata,240,188.7,,roundish,rear-fanged,unclear toxicity,,Japanese striped snake
Colubridae,Elaphe quatuorlineata,280,400,,roundish,rear-fanged,unclear toxicity,oviparous,four lined snake
Colubridae,Elaphe sauromates,250,993,,roundish,rear-fanged,unclear toxicity,oviparous,east four lined rat snake
Colubridae,Elaphe schrenckii,200,,,roundish,rear-fanged,unclear toxicity,oviparous,Amur rat snake
Colubridae,Elaphe taeniura,270,76.2,,roundish,rear-fanged,unclear toxicity,oviparous,Beauty Snake
Colubridae,Elaphe urartica,,,,,,,,
Colubridae,Elaphe xiphodonta,,,,,,,,
Colubridae,Elaphe zoigeensis,,,,,rear-fanged,unclear toxicity,,Zoige rat snake
Elapidae,Elapognathus coronatus,69,,,roundish,front-fanged,venomous bite – unknown dangerousness,live birth (unspecific),crowned snake
Elapidae,Elapognathus minor,50,,,roundish,front-fanged,venomous bite – dangerous,live birth (unspecific),short nosed snake
Colubridae,Elapoidis fusca,51,,,roundish,rear-fanged,unclear toxicity,,Dark Grey Ground Snake
Colubridae,Elapoidis sumatrana,,,,,,,,
Colubridae,Elapomorphus quinquelineatus,100,,,roundish,rear-fanged,unclear toxicity,,Raddi's Lizard eating Snake
Colubridae,Elapomorphus wuchereri,145,,,roundish,rear-fanged,unclear toxicity,,Wucherer's Lizard eating Snake
Pseudoxyrhophiidae,Elapotinus picteti,42,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,African White collared Snake
Elapidae,Elapsoidea boulengeri,77,,,roundish,front-fanged,venomous bite – potentially dangerous,,Boulenger's garter snake
Elapidae,Elapsoidea broadleyi,77,,,roundish,front-fanged,venomous bite – potentially dangerous,,Broadley's garter snake
Elapidae,Elapsoidea chelazziorum,60,,,roundish,front-fanged,venomous bite – potentially dangerous,,Somali garter snake
Elapidae,Elapsoidea guentherii,63,,,roundish,front-fanged,venomous bite – potentially dangerous,oviparous,Guenther's African garter snake
Elapidae,Elapsoidea laticincta,56,,,roundish,front-fanged,venomous bite – potentially dangerous,oviparous,Werner's African garter snake
Elapidae,Elapsoidea loveridgei,68,,,roundish,front-fanged,venomous bite – potentially dangerous,,East African garter snake
Elapidae,Elapsoidea nigra,60,,,roundish,front-fanged,venomous bite – potentially dangerous,oviparous,black African garter snake
Elapidae,Elapsoidea semiannulata,71,,,roundish,front-fanged,venomous bite – potentially dangerous,,Angola garter snake
Elapidae,Elapsoidea sundevallii,140,,,roundish,front-fanged,venomous bite – potentially dangerous,oviparous,Sundevall's African garter snake
Elapidae,Elapsoidea trapei,68.1,,,roundish,front-fanged,venomous bite – potentially dangerous,,Trape's garter snake
Colubridae,Emmochliophis fugleri,40,,,roundish,rear-fanged,unclear toxicity,,Pinchinda Snake
Colubridae,Emmochliophis miops,39,,,roundish,rear-fanged,unclear toxicity,,Paramba Fishing Snake
Elapidae,Emydocephalus annulatus,105,,0.15,roundish,front-fanged,venomous bite – potentially dangerous,live birth (unspecific),Annulated Turtle headed Sea Snake
Elapidae,Emydocephalus ijimae,95,,,,front-fanged,venomous bite – potentially dangerous,,Japanese Turtle headed Sea Snake
Elapidae,Emydocephalus orarius,,,,roundish,,,,
Homalopsidae,Enhydris chanardi,55,,,,rear-fanged,venomous bite – potentially dangerous,,Sind River Snake
Homalopsidae,Enhydris enhydris,97,89.6,,vertical slit,rear-fanged,venomous bite – potentially dangerous,,Rainbow Water Snake
Homalopsidae,Enhydris innominata,70,,,,rear-fanged,venomous bite – potentially dangerous,,Tay Ninh Water Snake
Homalopsidae,Enhydris jagorii,75,245,,,rear-fanged,venomous bite – potentially dangerous,,Jagor’s Water Snake
Homalopsidae,Enhydris longicauda,81,134.2,,vertical slit,rear-fanged,venomous bite – potentially dangerous,,Long tailed Mud Snake
Homalopsidae,Enhydris subtaeniata,87,232.2,,,rear-fanged,venomous bite – potentially dangerous,,Mekong Mud Snake
Colubridae,Enuliophis sclateri,70,,,roundish,rear-fanged,unclear toxicity,,Colombian Longtail Snake
Colubridae,Enulius bifoveatus,32,,,,rear-fanged,unclear toxicity,,Guanaja Long tailed Snake
